observation_date,CANSLRTTO01MLSAM
01/08/2019,52664000000
01/09/2019,52576000000
01/10/2019,51761000000
01/11/2019,52017000000
01/12/2019,53303000000
01/01/2020,52434000000
01/02/2020,52516000000
01/03/2020,47738000000
01/04/2020,37136000000
01/05/2020,44996000000
01/06/2020,54242000000
01/07/2020,54513000000
01/08/2020,54327000000
01/09/2020,55979000000
01/10/2020,56279000000
01/11/2020,56329000000
01/12/2020,54131000000
01/01/2021,52887000000
01/02/2021,56138000000
01/03/2021,58710000000
01/04/2021,55566000000
01/05/2021,53935000000
01/06/2021,56248000000
01/07/2021,56632000000
01/08/2021,57129000000
01/09/2021,56547000000
01/10/2021,56971000000
01/11/2021,57111000000
01/12/2021,56176000000
01/01/2022,56791000000
01/02/2022,56706000000
01/03/2022,56004000000
01/04/2022,55953000000
01/05/2022,56632000000
01/06/2022,56773000000
01/07/2022,56104000000
01/08/2022,56612000000
01/09/2022,56529000000
01/10/2022,56660000000
01/11/2022,56634000000
01/12/2022,57327000000
01/01/2023,57937000000
01/02/2023,57967000000
01/03/2023,57310000000
01/04/2023,57680000000
01/05/2023,57793000000
01/06/2023,57693000000
01/07/2023,57654000000
01/08/2023,57315000000
01/09/2023,57425000000
01/10/2023,58242000000
